w,390076864,3891080438
w,494934464,2584468478
w,29366720,3741047121
w,268442048,3667095064
r,494934464,
r,29366720,
r,390076864,
w,440409792,2998876942
w,373300928,2833063744
w,478158528,1996631547
w,4202176,398650726
r,373300928,
r,478158528,
r,440409792,
w,54527232,4185224384
w,272631040,1339772737
w,335545600,2137738773
w,377488640,4175991703
r,272631040,
r,335545600,
r,54527232,
w,37753344,3862265254
w,406852096,1549908032
w,390074880,2244469735
w,360714752,3184727979
r,406852096,
r,390074880,
r,37753344,
w,452990016,1592119889
w,398464064,3626739550
w,356521024,62720988
w,12588096,1115842111
r,398464064,
r,356521024,
r,452990016,
w,117441792,2230589076
w,318768384,2748218819
w,138413312,639044868
w,293602560,2115725246
r,318768384,
r,138413312,
r,117441792,
w,142610432,1999407850
w,188747776,1659937630
w,314576896,607939657
w,494931968,2482116759
r,188747776,
r,314576896,
r,142610432,
w,499129152,4018557246
w,255859520,1707981939
w,360717120,1124558135
w,222305088,193385962
r,255859520,
r,360717120,
r,499129152,
w,515906368,4234809514
w,113253184,2543052716
w,255859520,1452341990
w,293608256,2378799664
r,113253184,
r,255859520,
r,515906368,
w,264243776,2493978575
w,381684288,3425118272
w,197134912,1513530142
w,92277312,506044748
r,381684288,
r,197134912,
r,264243776,
w,415239808,378457481
w,339742336,2136075949
w,163581568,799980358
w,373296768,2924960820
r,339742336,
r,163581568,
r,415239808,
w,356517952,2910900848
w,385878080,2288655955
w,411043904,3253078565
w,520095808,159917
r,385878080,
r,411043904,
r,356517952,
w,155193088,935287908
w,71307008,3931106033
w,239079168,2397968193
w,473960192,2244701172
r,71307008,
r,239079168,
r,155193088,
w,310382016,44519627
w,381685184,2206924164
w,339742144,589395848
w,155192768,1109020482
r,381685184,
r,339742144,
r,310382016,
w,369104320,1732424563
w,222303680,2617177885
w,192943552,1411558395
w,201332160,4260622114
r,222303680,
r,192943552,
r,369104320,
w,1408,1791821534
w,209716608,416765940
w,239076736,550232463
w,146802048,3659326957
r,209716608,
r,239076736,
